name,priority,sector,category,website
Reayat Al Jamal Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.raljamal.com
Sole Oasis Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.soleoasis.co
Tulip Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.tulip-mc.com
Younan Beauty Centre,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.younanbc.com
Euro Medical Care Group,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.emcg-du.com
NSJ Health & Beauty,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.alnaseej.ae
ZO&MO Opticals,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.zoandmo.com
Dr Gulf,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.drgulf.net
Eco Healthcare Company,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.ecohcc.com
Saba Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,https://drsabamed.com
Vet Link,P1 · Core target,Healthcare & Wellness,Veterinary,http://www.vetlink.me
WE PADEL,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.wepadel.ae
XFit Gym UAE,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.xfitgym.ae
Sharjah International Holistic Health Centre,P1 · Core target,Healthcare & Wellness,Aesthetic & Cosmetic,http://www.hhuae.com
Z'NEEM HEALTHCARE,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.zneem.com
Fahes Medical Examination Center L.L.C. SP,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.fahes.ae
SSBZHospital,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.ssbzh.ae
waqa medical center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.waqaa.ae
Meridian Healthcare MEA,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.mhc.ai
Sharjah Equine Hospital,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.seh.ae
Anat Salon & Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",
Coya Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",
GOLDEN POWERHOUSE GYM,P1 · Core target,Healthcare & Wellness,Fitness & Sports,
Mulk Physiotherapy and Home Health Care Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
Pixie Beauty Salon,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",
Prime Medical Center Al Tayy,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
Rouge & Liner Beauty Salon,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",
SALLY Dental & Dermatology Center,P1 · Core target,Healthcare & Wellness,Aesthetic & Cosmetic,
Sharjah Women's Sports Club,P1 · Core target,Healthcare & Wellness,Fitness & Sports,
Shifa Al Jazeera Medical Centre Sharjah,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
Specialist in HealthCare & Rehabilitation,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
THE PET DOCTOR,P1 · Core target,Healthcare & Wellness,Veterinary,
Victoria Dental Center,P1 · Core target,Healthcare & Wellness,Dental,
Zulekha Hospital Sharjah,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
genova medical center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,
Tree of prosperity International LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.treeofprosperityinternational.com
Dream House Building Materials Trading L.L.C,P2 · High,Construction & Engineering,Construction & Contracting,http://www.dreamhousebuildingmaterials.com
Harmonic Solutions Oil & Gas,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.harmonicsolutions-oilandgas.com
INDUSTRIAL INNOVATION GROUP,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.industrialinnovationgroup.com
MS Group Textiles,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.msgroup-secondhandclothes.com
HPI Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.albaitalhadiportacabins.com
YASMEEN ALSHAM FOODSTUFF TRADING CO. L.L.C,P2 · High,Logistics & Trade,Trading & Distribution,http://www.yasameenalshamfoodstuff.com
Bright Aluminium Factory LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.brightaluminiumfactory.com
Godrej Storage Solutions (Middle East & North Africa),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.godrejstoragesolutions.com
Multipack,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.multipackinternational.com
BAIT AL AMANAH MARINE CARGO SERVICES,P2 · High,Logistics & Trade,Logistics & Transport,http://www.alamanahcargoservices.com
BCC Group International,P2 · High,Construction & Engineering,Construction & Contracting,http://www.bccgroupinternational.com
California Scaffolding & Formwork Factory,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.californiascaffolding.net
Deena Furniture Factory,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.deenafurniturefactory.com
GTC Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.gtcgroupinternational.com
MFC Container Solutions,P2 · High,Logistics & Trade,Logistics & Transport,http://www.mfccontainersolutions.com
SCAN Electromechanical Cont. Co. LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.scanelectromechanical.com
SYNERGY BLENDS AND TRADE LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.synergyblendsandtrade.com
Silver Corner Packaging and Printing,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.silvercornerpackaging.com
aerospace enterprises,P2 · High,Logistics & Trade,Logistics & Transport,http://www.aerospace-enterprises.com
AL SHEHABI PRINTING PRESS,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.shehabiprintingpress.com
ARTICHOKE FILM FACTORY,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.artichokefilmfactory.com
Al Marwan Developments,P2 · High,Construction & Engineering,Construction & Contracting,http://www.almarwandevelopments.com
BEST ENGINEERING DUBAI,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.bestengineeringdubai.com
Braveheart Resources Ltd,P2 · High,Logistics & Trade,Logistics & Transport,http://www.braveheart-resources.com
Concord Ventures Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.concordventuresgroup.com
Engineering Approach,P2 · High,Construction & Engineering,Construction & Contracting,http://www.engineering-approach.com
Fast Printing Press LLC-SP,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fastprintingpressllc.com
IFFCO ANIMAL NUTRITION,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.iffcoanimalnutrition.com
Japan Emirates Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.japanemiratestrading.com
Lebanese International Kitchen Equipment L.L.C SP,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.lebaneseinternational.ae
MIDAS METAL INDUSTRIES,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.midasmetalindustries.com
Oil Gas Energy Magazine,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.oilgasenergymagazine.com
Pioneer Marine,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.pioneermarineservice.com
STATIC DESIGN LIGHTING,P2 · High,Construction & Engineering,Construction & Contracting,http://www.staticdesignlighting.com
AL KHOWAHIR CHEMICALS,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alkhowahirchemicals.com
Accurate Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.accurate-industries.com
Advanced Construction BLDG CONT L.L.C,P2 · High,Construction & Engineering,Construction & Contracting,http://www.advancedconstruction.ae
Al Bushra Printing Press LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.albushraprintingllc.com
Al Farah Printing Press LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alfarahprintingpress.ae
Al Rawi Printing Press LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alrawiprintingpress.com
Al Saad Printing Press L.L.C.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alsaadprintingpress.com
Al Yasmeen Electrical & Switchgear Trading LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alyasmeenelectrical.com
Amzone International Limited,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.amzoneinternational.com
Crescent Enterprises,P2 · High,Logistics & Trade,Logistics & Transport,http://www.crescententerprises.com
Desert Pearl Ventures,P2 · High,Logistics & Trade,Trading & Distribution,http://www.desertpearlventures.com
Emirates Shipping LLC,P2 · High,Logistics & Trade,Logistics & Transport,http://www.emirateshipping-llc.com
FORM TECH SCAFFOLDING TR,P2 · High,Construction & Engineering,Construction & Contracting,http://www.formtechscaffolding.com
FORMTECH Engineering,P2 · High,Construction & Engineering,Construction & Contracting,http://www.formtechengineering.com
GLOBAL RESOURCES HEAVY EQUIPMENT NSPT EST.,P2 · High,Construction & Engineering,Construction & Contracting,http://www.globalresources-uae.com
Growth Technologies,P2 · High,Construction & Engineering,Construction & Contracting,http://www.growth-technologies.com
International Food Company LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.usinternationalfood.com
Lifeboat Inspections,P2 · High,Logistics & Trade,Logistics & Transport,http://www.lifeboatinspections.com
Millennium Fashions Industries Ltd,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.millennium-fashions.com
Roof Metal Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.roofmetalindustries.com
SAFEWAY INTL MOVING AND SHIPPING LLC,P2 · High,Logistics & Trade,Logistics & Transport,http://www.safewayintlshipping.com
Safety Services Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.safetyservicesgroup.com
Tawakkal Contracting & Trading Co. L.L.C,P2 · High,Construction & Engineering,Construction & Contracting,http://www.tawakkalcontracting.com
Texas Equipment Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.smartbatterycharger.net
al itejahat aluminum & glass cont,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alitejahataluminium.com
AL KHAIL AL ARABI Industrial equipment trading,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alkhailmachineries.com
Abdullah Metal Scraps Tr L.L.C,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.abdullahmetalscrap.com
Al Busayra Delivery Services,P2 · High,Logistics & Trade,Logistics & Transport,http://www.al-busayradelivery.com
Al Jazeerah Drilling L.L.C,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.aljazeerahdrilling.com
Arabian Line Plastic,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.arabianlineplastic.com
Connect Switchgear Assembly LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.connect-switchgear.com
Creative Concrete Concepts,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.creativeconcreteme.com
Facade Solutions LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.facadesolutionsuae.com
"First Choice Marble & Granite Trd LLC Sharjah, UAE",P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.firstchoicemarbles.com
Five Continents Group,P2 · High,Logistics & Trade,Trading & Distribution,http://www.fivecontinentsintl.com
GULF COATINGS SHOW,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.gulf-coatings-show.com
GWT - Gulf Water Treatment Co. Ltd.,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.gulfwatertreatment.com
Global Enterprise Research,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alglobalenterprise.com
Innovation Line,P2 · High,Logistics & Trade,Logistics & Transport,http://www.innovationlineintl.com
Munif Al Nahdi Group (Mize Dubai),P2 · High,Logistics & Trade,Trading & Distribution,http://www.toyotamunifalnahdi.com
Panacea Medizintech LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.panaceamedizintech.com
Petromax Lubricants,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.petromaxindustries.com
SUNSHINE STEEL WORKS LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.sunshinesteelworks.com
Skylight Switchgear Ind. L.L.C.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.skylightswitchgear.com
Smart Fabrications llc,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.smart-fabrications.com
Swiss PRO Foundations,P2 · High,Construction & Engineering,Construction & Contracting,http://www.swissprofoundations.ae
Tawazun Construction,P2 · High,Construction & Engineering,Construction & Contracting,http://www.tawazunconstruction.ae
Three brothers shipping & logistics llc.,P2 · High,Logistics & Trade,Logistics & Transport,http://www.threebrotherscargo.com
Tiger Electromechanical contracting LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.tigercontractingco.com
Turbine Controls Services LLC UAE,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.turbineservicesllc.com
VesselTech Chillers and Automation LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.vesseltechchillers.com
seven emirates glass mirrors factory,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.sevenemiratesglass.com
ARM Metal Recycling,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.armmetalrecycling.com
Al Arcus International Paints LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alarcusmiddleeast.com
Al Hamama Delivery Services,P2 · High,Logistics & Trade,Logistics & Transport,http://www.al-hamamadelivery.com
Al Hamra Shades Ind Co LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alhamraindustries.com
Al Hayat Elect. Switchgear Ind. LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alhayatswitchgear.com
Al Jalal Electrical Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.aljalalelectrical.com
Al Marwan Construct,P2 · High,Construction & Engineering,Construction & Contracting,http://www.almarwanconstruct.com
Al Rafid Insulation Contracting LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alrafidinsulation.com
Al Zerwa Hydraulics,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alzerwahydraulics.com
Arabian Containers Industires LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.arabiancontainers.com
Bavaria Equipment Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.bavaria-equipment.com
Business Review,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.businessreviewmea.com
City Falcon Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.cityfalcontrading.com
Credence Offshore Limited,P2 · High,Logistics & Trade,Logistics & Transport,http://www.credence-offshore.com
Crescent Petroleum,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.crescentpetroleum.com
Electronics Coding,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.electronicscoding.com
Everest Industrial,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.everestindustrial.com
Finishes & Beyond,P2 · High,Construction & Engineering,Construction & Contracting,http://www.finishesandbeyond.com
Globe Constructors Ltd L.L.C.,P2 · High,Construction & Engineering,Construction & Contracting,http://www.globeconstructors.com
Gulf Manufacturing CO LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.gulfmanufacturing.com
HI ENERGY,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.hi-energyservices.com
Harmony Surfaces,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.harmonysurfaces.world
K I M HEAVY MACHINERY CO LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.kimheavymachinery.com
MARTEX LINE Contracting LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.matrixconstruction.ae
Mohamed Hilal Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mohamedhilalgroup.com
Momentum Logistics,P2 · High,Logistics & Trade,Logistics & Transport,http://www.momentumlogistics.com
OSCAR BUILDING CONT. LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.oscarbuildingcont.com
Quick Link Aviation,P2 · High,Logistics & Trade,Logistics & Transport,http://www.quicklinkaviation.com
Shades and Blinds LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.shadesandblindsme.com
Speedline Shipping & Movers LLC,P2 · High,Logistics & Trade,Logistics & Transport,http://www.speedlineshipping.com
Starlight Aerotech International,P2 · High,Logistics & Trade,Logistics & Transport,http://www.starlightaerotech.com
THE MOVING MACHINES,P2 · High,Logistics & Trade,Trading & Distribution,http://www.themovingmachines.com
Takreer Envirotech,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.takreerenvirotech.com
The Collective International | Defense Contracting,P2 · High,Construction & Engineering,Construction & Contracting,http://www.thecollectiveintl.com
Tritek Power & Automation,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.tritek-automation.com
ADS GROUP,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.adscreativeideas.com
AL Kheera Steel Works,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.kheerasteelworks.com
AeroConnections,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aero-connections.com
Al Jazeera Turning,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aljazeeraturning.com
Al Jazeerah Marine,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aljazeerahmarine.com
Al Khalil Aluminium & Glass (AKAG),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.khaleejaluminium.com
Al Qaryah Shipping,P2 · High,Logistics & Trade,Logistics & Transport,http://www.alqaryahshipping.com
Al Qubaa Equipment and Heavy Machinery Spare parts Trading,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alqubaaequipment.com
Al Sahlawi Aluminum,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.sahlawialuminium.com
Al Yazhar Garments,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alyazhargarments.com
Aries Group Of Companies,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ariesgroupglobal.com
Aya Construction,P2 · High,Construction & Engineering,Construction & Contracting,http://www.ayaconstructions.com
BLR TRADING LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.blrglobaltrading.com
BlackStorm Energy LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.blackstormenergy.com
Book Cheap Freight,P2 · High,Logistics & Trade,Logistics & Transport,http://www.bookcheapfreight.com
CONCRETE WORLD,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.concreteworlduae.com
Captain and Company-Middle East & Africa,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.captainandcompany.ae
Composite Maintenance Engineering,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.cmerepairsystems.com
Cool Ways Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.coolways-trading.com
DATA Transport,P2 · High,Logistics & Trade,Logistics & Transport,http://www.datatransportuae.com
Deep Ocean General Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.deepoceangeneral.com
Desert Star Metal Construction Factory,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.desertstarmetals.com
Dhahiah Al Seyouh Scaffolding Contracting LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.dhahiahscaffolds.com
Falcon Oasis Aluminum & Glass Cont LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.falconoasisglass.com
Four Stars Ceramic and Sanitary,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fourstarsanitary.com
IMPACT,P2 · High,Construction & Engineering,Construction & Contracting,http://www.impactadvertising.ae
JQ Pharma,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.advancepharmatec.com
JSK Global Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.jskglobaltrading.com
MARWAN ELECTRICAL AND SANITARY WARE CO LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.marwanelectrical.com
MEGA MERCHANDISING COMPANY LTD,P2 · High,Logistics & Trade,Trading & Distribution,http://www.megamerchandising.ae
Mapco Fertilizer Industries,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mapcofertilizers.com
Matlaa Al Fajr Concrete Works LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fajrconcreteworks.ae
Metra Decoration and Building Construction,P2 · High,Construction & Engineering,Construction & Contracting,http://www.metra-decoration.com
Modern Seal Group (MSG) Since 2007,P2 · High,Construction & Engineering,Construction & Contracting,http://www.modernsealgroups.com
Najmat Al Buhairah Graphics,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.buhairahgraphics.com
